Year,Month,Day,Hour,concrete_temp
2017,January,6,21,6.39
2017,January,6,22,6.5
2017,January,6,23,6.59
2017,January,7,0,6.63
2017,January,7,1,6.66
2017,January,7,2,6.64
2017,January,7,3,6.68
2017,January,7,4,6.73
2017,January,7,5,6.73
2017,January,7,6,6.78
2017,January,7,7,6.84
2017,January,7,8,6.82
2017,January,7,9,7.06
2017,January,7,10,7.64
2017,January,7,11,8.29
2017,January,7,12,8.45
2017,January,7,13,8.76
2017,January,7,14,8.56
2017,January,7,15,8.27
2017,January,7,16,7.93
2017,January,7,17,7.77
2017,January,7,18,7.71
2017,January,7,19,7.58
2017,January,7,20,7.61
2017,January,7,21,7.55
2017,January,7,22,7.29
2017,January,7,23,7.15
2017,January,8,0,6.97
2017,January,8,1,6.98
2017,January,8,2,6.62
2017,January,8,3,6.57
2017,January,8,4,6.81
2017,January,8,5,6.91
2017,January,8,6,7.1
2017,January,8,7,7.25
2017,January,8,8,7.4
2017,January,8,9,7.49
2017,January,8,10,7.99
2017,January,8,11,8.46
2017,January,8,12,9.01
2017,January,8,13,8.94
2017,January,8,14,8.59
2017,January,8,15,7.81
2017,January,8,16,7.48
2017,January,8,17,7.43
2017,January,8,18,7.4
2017,January,8,19,7.47
2017,January,8,20,7.57
2017,January,8,21,7.65
2017,January,8,22,7.76
2017,January,8,23,7.69
2017,January,9,0,7.27
2017,January,9,1,7.52
2017,January,9,2,7.59
2017,January,9,3,7.64
2017,January,9,4,7.83
2017,January,9,5,7.76
2017,January,9,6,7.71
2017,January,9,7,7.54
2017,January,9,8,7.43
2017,January,9,9,7.56
2017,January,9,10,6.96
2017,January,9,11,7
2017,January,9,12,7.89
2017,January,9,13,8.79
2017,January,9,14,7.92
2017,January,9,15,6.59
2017,January,9,16,5.69
2017,January,9,17,5.56
2017,January,9,18,5.68
2017,January,9,19,5.75
2017,January,9,20,5.46
2017,January,9,21,5.68
2017,January,9,22,5.69
2017,January,9,23,5.36
2017,January,10,0,5.59
2017,January,10,1,5.78
2017,January,10,2,5.71
2017,January,10,3,5.82
2017,January,10,4,5.98
2017,January,10,5,6
2017,January,10,6,6.07
2017,January,10,7,6.24
2017,January,10,8,6.3
2017,January,10,9,6.32
2017,January,10,10,6.52
2017,January,10,11,7.06
2017,January,10,12,7.68
2017,January,10,13,7.67
2017,January,10,14,7.54
2017,January,10,15,7.54
2017,January,10,16,7.44
2017,January,10,17,7.42
2017,January,10,18,7.23
2017,January,10,19,7.2
2017,January,10,20,7.04
2017,January,10,21,6.87
2017,January,10,22,7.37
2017,January,10,23,7.49
2017,January,11,0,7.9
2017,January,11,1,8.39
2017,January,11,2,8.46
2017,January,11,3,8.51
2017,January,11,4,7.62
2017,January,11,5,6.87
2017,January,11,6,6.64
2017,January,11,7,5.72
2017,January,11,8,5.52
2017,January,11,9,6.36
2017,January,11,10,6.62
2017,January,11,11,6.78
2017,January,11,12,6.83
2017,January,11,13,6.35
2017,January,11,14,6.28
2017,January,11,15,5.97
2017,January,11,16,5.02
2017,January,11,17,4.58
2017,January,11,18,5.17
2017,January,11,19,4.94
2017,January,11,20,4.85
2017,January,11,21,4.91
2017,January,11,22,4.72
2017,January,11,23,4.69
2017,January,12,0,4.82
2017,January,12,1,4.21
2017,January,12,2,4.53
2017,January,12,3,4.45
2017,January,12,4,4.63
2017,January,12,5,4.37
2017,January,12,6,4.17
2017,January,12,7,4.24
2017,January,12,8,3.63
2017,January,12,9,3.25
2017,January,12,10,2.95
2017,January,12,11,3.34
2017,January,12,12,3.9
2017,January,12,13,3.42
2017,January,12,14,3.67
2017,January,12,15,3.15
2017,January,12,16,2.07
2017,January,12,17,1.24
2017,January,12,18,0.91
2017,January,12,19,0.57
2017,January,12,20,0.79
2017,January,12,21,0.15
2017,January,12,22,0.32
2017,January,12,23,0.39
2017,January,13,0,-0.18
2017,January,13,1,-0.13
2017,January,13,2,0.14
2017,January,13,3,0.24
2017,January,13,4,0.7
2017,January,13,5,1.17
2017,January,13,6,0.86
2017,January,13,7,1.73
2017,January,13,8,1.61
2017,January,13,9,3.6
2017,January,13,10,4.89
2017,January,13,11,6.7
2017,January,13,12,7.46
2017,January,13,13,6.13
2017,January,13,14,4.6
2017,January,13,15,4.1
2017,January,13,16,2.22
2017,January,13,17,1.55
2017,January,13,18,0.55
2017,January,13,19,-0.19
2017,January,13,20,-0.35
2017,January,13,21,-0.22
2017,January,13,22,-0.95
2017,January,13,23,0.29
2017,January,14,0,1.6
2017,January,14,1,2.07
2017,January,14,2,2.38
2017,January,14,3,2.3
2017,January,14,4,2.09
2017,January,14,5,2.69
2017,January,14,6,3.06
2017,January,14,7,3.34
2017,January,14,8,3.38
2017,January,14,9,2.93
