Year,Month,Day,Hour,Device_ID,Module_Key,OAT
2017,May,12,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.21
2017,May,13,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.05
2017,May,13,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.86
2017,May,13,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.89
2017,May,13,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.94
2017,May,13,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.91
2017,May,13,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.83
2017,May,13,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.8
2017,May,13,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.7
2017,May,13,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.04
2017,May,13,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.6
2017,May,13,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.69
2017,May,13,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.87
2017,May,13,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.45
2017,May,13,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.03
2017,May,13,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.64
2017,May,13,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.44
2017,May,13,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.98
2017,May,13,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.21
2017,May,13,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.33
2017,May,13,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.34
2017,May,13,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.38
2017,May,13,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.98
2017,May,13,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.34
2017,May,13,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.89
2017,May,14,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.79
2017,May,14,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.46
2017,May,14,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.99
2017,May,14,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.84
2017,May,14,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.62
2017,May,14,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.25
2017,May,14,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.23
2017,May,14,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.25
2017,May,14,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.29
2017,May,14,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.38
2017,May,14,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.18
2017,May,14,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.41
2017,May,14,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.75
2017,May,14,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.35
2017,May,14,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.89
2017,May,14,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.2
2017,May,14,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.33
2017,May,14,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.55
2017,May,14,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.8
2017,May,14,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.71
2017,May,14,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.34
2017,May,14,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.91
2017,May,14,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.43
2017,May,14,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.72
2017,May,15,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.49
2017,May,15,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.12
2017,May,15,2,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.71
2017,May,15,3,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.76
2017,May,15,4,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.73
2017,May,15,5,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.75
2017,May,15,6,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.65
2017,May,15,7,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.33
2017,May,15,8,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.05
2017,May,15,9,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.14
2017,May,15,10,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.4
2017,May,15,11,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,9.75
2017,May,15,12,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,10.5
2017,May,15,13,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,11.34
2017,May,15,14,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.05
2017,May,15,15,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,12.77
2017,May,15,16,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.73
2017,May,15,17,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.22
2017,May,15,18,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,14.04
2017,May,15,19,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.79
2017,May,15,20,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.7
2017,May,15,21,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.66
2017,May,15,22,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.5
2017,May,15,23,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.29
2017,May,16,0,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.13
2017,May,16,1,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S1,13.01
