,timestamp,id,metadata_id,consumption,meter_reading
37202,2016-12-04 11:00:00,137,102,25,5507659
37233,2016-12-02 04:00:00,27,102,14,5504854
37272,2016-12-02 06:00:00,31,102,16,5504913
37311,2016-12-02 08:00:00,35,102,30,5504995
37350,2016-12-02 10:00:00,39,102,44,5505134
37394,2016-12-03 12:30:00,92,102,24,5506718
37433,2016-12-03 14:30:00,96,102,25,5506815
37472,2016-12-03 16:30:00,100,102,26,5506912
37511,2016-12-03 18:30:00,104,102,26,5507010
37529,2016-12-04 03:30:00,122,102,13,5507383
37568,2016-12-04 05:30:00,126,102,13,5507438
37607,2016-12-04 07:30:00,130,102,23,5507504
37646,2016-12-04 09:30:00,134,102,22,5507592
37703,2016-12-02 12:00:00,43,102,49,5505322
37742,2016-12-02 14:00:00,47,102,48,5505516
37781,2016-12-02 16:00:00,51,102,49,5505709
37820,2016-12-02 18:00:00,55,102,41,5505902
37869,2016-12-04 13:00:00,141,102,27,5507758
37907,2016-12-04 15:00:00,145,102,29,5507869
37945,2016-12-04 17:00:00,149,102,31,5507982
37983,2016-12-04 19:00:00,153,102,33,5508109
38021,2016-12-03 20:30:00,108,102,26,5507112
38060,2016-12-03 22:30:00,112,102,24,5507213
38099,2016-12-04 00:30:00,116,102,15,5507298
38138,2016-12-04 02:30:00,120,102,15,5507354
38156,2016-12-04 11:30:00,138,102,24,5507684
38194,2016-12-04 13:30:00,142,102,29,5507785
38232,2016-12-04 15:30:00,146,102,26,5507898
38270,2016-12-04 17:30:00,150,102,31,5508013
38308,2016-12-04 19:30:00,154,102,30,5508142
38346,2016-12-04 21:30:00,158,102,29,5508262
38384,2016-12-04 23:30:00,162,102,22,5508375
38422,2016-12-05 01:30:00,166,102,15,5508441
38460,2016-12-05 03:30:00,170,102,14,5508496
38492,2016-12-04 21:00:00,157,102,29,5508233
38530,2016-12-04 23:00:00,161,102,25,5508350
38568,2016-12-05 01:00:00,165,102,14,5508427
38606,2016-12-05 03:00:00,169,102,14,5508482
38648,2016-12-04 04:30:00,124,102,14,5507410
38687,2016-12-04 06:30:00,128,102,15,5507467
38726,2016-12-04 08:30:00,132,102,21,5507549
38765,2016-12-04 10:30:00,136,102,24,5507635
38812,2016-12-05 05:30:00,174,102,16,5508550
38850,2016-12-05 07:30:00,178,102,23,5508629
38888,2016-12-05 09:30:00,182,102,41,5508750
38926,2016-12-05 11:30:00,186,102,50,5508922
38961,2016-12-04 12:30:00,140,102,26,5507732
38999,2016-12-04 14:30:00,144,102,28,5507841
39037,2016-12-04 16:30:00,148,102,29,5507953
39075,2016-12-04 18:30:00,152,102,33,5508076
39115,2016-12-05 05:00:00,173,102,13,5508537
39153,2016-12-05 07:00:00,177,102,24,5508605
39191,2016-12-05 09:00:00,181,102,35,5508715
39229,2016-12-05 11:00:00,185,102,46,5508876
39278,2016-12-05 13:30:00,190,102,52,5509122
39316,2016-12-05 15:30:00,194,102,54,5509327
39354,2016-12-05 17:30:00,198,102,52,5509539
39392,2016-12-05 19:30:00,202,102,37,5509723
39427,2016-12-04 20:30:00,156,102,31,5508202
39465,2016-12-04 22:30:00,160,102,28,5508322
39503,2016-12-05 00:30:00,164,102,15,5508412
39541,2016-12-05 02:30:00,168,102,13,5508469
39581,2016-12-05 13:00:00,189,102,49,5509073
39619,2016-12-05 15:00:00,193,102,51,5509276
39657,2016-12-05 17:00:00,197,102,52,5509487
39695,2016-12-05 19:00:00,201,102,41,5509682
39744,2016-12-05 21:30:00,206,102,31,5509858
39782,2016-12-05 23:30:00,210,102,22,5509970
39820,2016-12-06 01:30:00,214,102,17,5510038
39858,2016-12-06 03:30:00,218,102,15,5510099
39890,2016-12-05 21:00:00,205,102,31,5509827
39928,2016-12-05 23:00:00,209,102,25,5509945
39966,2016-12-06 01:00:00,213,102,16,5510022
40004,2016-12-06 03:00:00,217,102,15,5510084
40050,2016-12-05 04:30:00,172,102,13,5508524
