,param_name,param_type,param_value,timestamp,device_id,module_key
991787,V,1,19.849577,2017-04-01 05:58:59.210000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
992607,V,1,21.074696,2017-04-05 13:39:01.367000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1010114,V,1,20.225861,2017-04-03 21:09:00.127000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1013959,V,1,18.991991,2017-04-02 05:09:01.650000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1032237,V,1,21.109699,2017-04-05 13:49:01.913000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1041269,V,1,18.948238,2017-04-02 05:19:01.313000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1049356,V,1,19.832073,2017-04-01 06:08:59.103000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1052212,V,1,18.948238,2017-04-02 05:29:01.170000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1069175,V,1,21.170956,2017-04-05 13:59:01.187000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1070001,V,1,20.182106,2017-04-03 21:18:59.693000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1090094,V,1,19.814571,2017-04-01 06:18:59.857000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1107408,V,1,18.921984,2017-04-02 05:39:00.910000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1125724,V,1,21.179705,2017-04-05 14:09:01.207000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1127032,V,1,19.788319,2017-04-01 06:29:00.753000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1127033,V,1,20.129602,2017-04-03 21:29:08.853000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1128418,V,1,18.895733,2017-04-02 05:49:02.207000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
1147060,V,1,19.779568,2017-04-01 06:39:00.320000000,{A7B8544A-F5AF-40B3-BBBB-46E7C72A6D4D},S12
