Year,Month,Day,Hour,heat_consumption
2017,February,12,16,294
2017,February,12,17,299
2017,February,12,18,301
2017,February,12,19,286
2017,February,12,20,284
2017,February,12,21,280
2017,February,12,22,282
2017,February,12,23,253
2017,February,13,0,6
2017,February,13,1,4
2017,February,13,2,7
2017,February,13,3,6
2017,February,13,4,3
2017,February,13,5,1
2017,February,13,6,153
2017,February,13,7,368
2017,February,13,8,285
2017,February,13,9,225
2017,February,13,10,232
2017,February,13,11,232
2017,February,13,12,228
2017,February,13,13,231
2017,February,13,14,231
2017,February,13,15,262
2017,February,13,16,338
2017,February,13,17,290
2017,February,13,18,282
2017,February,13,19,276
2017,February,13,20,277
2017,February,13,21,281
2017,February,13,22,280
2017,February,13,23,236
2017,February,14,0,1
2017,February,14,1,5
2017,February,14,2,10
2017,February,14,3,3
2017,February,14,4,1
2017,February,14,5,0
2017,February,14,6,155
2017,February,16,7,424
2017,February,16,8,314
2017,February,16,9,272
2017,February,16,10,257
2017,February,16,11,254
2017,February,16,12,240
2017,February,16,13,249
2017,February,16,14,258
2017,February,16,15,239
2017,February,16,16,241
2017,February,16,17,234
2017,February,16,18,237
2017,February,16,19,232
2017,February,16,20,232
2017,February,16,21,230
2017,February,16,22,227
2017,February,16,23,195
2017,February,17,0,1
2017,February,17,1,3
2017,February,17,2,8
2017,February,17,3,10
2017,February,17,4,9
2017,February,17,5,8
2017,February,17,6,101
2017,February,17,7,331
2017,February,17,8,320
2017,February,17,9,276
2017,February,17,10,257
2017,February,17,11,240
2017,February,17,12,237
2017,February,17,13,235
2017,February,17,14,218
2017,February,17,15,217
2017,February,17,16,211
2017,February,17,17,221
2017,February,17,18,220
2017,February,17,19,204
2017,February,17,20,207
2017,February,17,21,208
2017,February,17,22,204
2017,February,17,23,174
2017,February,18,0,3
2017,February,18,1,7
2017,February,18,2,12
2017,February,18,3,15
2017,February,18,4,16
2017,February,18,5,16
2017,February,18,6,141
2017,February,18,7,378
2017,February,18,8,271
2017,February,18,9,223
2017,February,18,10,225
2017,February,18,11,216
2017,February,18,12,215
2017,February,18,13,216
2017,February,18,14,210
2017,February,18,15,210
2017,February,18,16,207
2017,February,18,17,206
2017,February,18,18,204
2017,February,18,19,198
2017,February,18,20,201
2017,February,18,21,202
2017,February,18,22,198
2017,February,18,23,172
2017,February,19,0,2
2017,February,19,1,5
2017,February,19,2,11
2017,February,19,3,14
2017,February,19,4,14
2017,February,19,5,17
2017,February,19,6,141
2017,February,19,7,370
2017,February,19,8,246
2017,February,19,9,215
2017,February,19,10,211
2017,February,19,11,206
2017,February,19,12,208
2017,February,19,13,206
2017,February,19,14,204
2017,February,19,15,207
2017,February,19,16,208
2017,February,19,17,209
2017,February,19,18,207
2017,February,19,19,207
2017,February,19,20,209
2017,February,19,21,204
2017,February,19,22,204
2017,February,19,23,174
2017,February,20,0,2
2017,February,20,1,5
2017,February,20,2,10
2017,February,20,3,10
2017,February,20,4,12
2017,February,20,5,14
2017,February,20,6,126
2017,February,20,7,363
2017,February,20,8,285
2017,February,20,9,236
2017,February,20,10,241
2017,February,20,11,230
2017,February,20,12,225
2017,February,20,13,232
2017,February,20,14,228
2017,February,20,15,222
2017,February,20,16,219
2017,February,20,17,224
2017,February,20,18,223
2017,February,20,19,211
2017,February,20,20,210
2017,February,20,21,210
2017,February,20,22,211
2017,February,20,23,179
2017,February,21,0,2
2017,February,21,1,5
2017,February,21,2,10
2017,February,21,3,14
2017,February,21,4,12
2017,February,21,5,16
2017,February,21,6,134
2017,February,21,7,364
2017,February,21,8,296
2017,February,21,9,250
2017,February,21,10,235
2017,February,21,11,227
2017,February,21,12,219
2017,February,21,13,221
2017,February,21,14,221
2017,February,21,15,221
2017,February,21,16,220
2017,February,21,17,222
2017,February,21,18,217
2017,February,21,19,216
2017,February,21,20,212
2017,February,21,21,211
2017,February,21,22,215
2017,February,21,23,183
2017,February,22,0,2
2017,February,22,1,4
2017,February,22,2,10
2017,February,22,3,13
2017,February,22,4,14
2017,February,22,5,15
2017,February,22,6,136
2017,February,22,7,375
2017,February,22,8,289
2017,February,22,9,249
2017,February,22,10,241
2017,February,22,11,237
2017,February,22,12,228
2017,February,22,13,220
2017,February,22,14,226
2017,February,22,15,228
2017,February,22,16,226
2017,February,22,17,227
2017,February,22,18,229
2017,February,22,19,213
2017,February,22,20,215
2017,February,22,21,213
2017,February,22,22,209
2017,February,22,23,171
2017,February,23,0,2
2017,February,23,1,1
2017,February,23,2,1
2017,February,23,3,1
2017,February,23,4,1
2017,February,23,5,0
2017,February,23,6,108
2017,February,23,7,320
2017,February,23,8,305
2017,February,23,9,269
2017,February,23,10,218
2017,February,23,11,241
2017,February,23,12,231
2017,February,23,13,241
2017,February,23,14,243
2017,February,23,15,218
2017,February,23,16,232
2017,February,23,17,236
2017,February,23,18,243
2017,February,23,19,225
2017,February,23,20,222
2017,February,23,21,217
2017,February,23,22,217
2017,February,23,23,189
2017,February,24,0,2
2017,February,24,1,4
2017,February,24,2,8
2017,February,24,3,8
2017,February,24,4,10
2017,February,24,5,11
2017,February,24,6,117
2017,February,24,7,367
2017,February,24,8,316
2017,February,24,9,282
2017,February,24,10,246
2017,February,24,11,234
2017,February,24,12,235
2017,February,24,13,226
2017,February,24,14,220
2017,February,24,15,214
2017,February,24,16,210
2017,February,24,17,207
2017,February,24,18,210
2017,February,24,19,198
2017,February,24,20,198
2017,February,24,21,198
2017,February,24,22,197
2017,February,24,23,171
2017,February,25,0,2
2017,February,25,1,2
2017,February,25,2,6
2017,February,25,3,7
2017,February,25,4,6
2017,February,25,5,6
2017,February,25,6,88
2017,February,25,7,318
2017,February,25,8,307
2017,February,25,9,246
2017,February,25,10,229
2017,February,25,11,225
2017,February,25,12,223
2017,February,25,13,216
2017,February,25,14,217
2017,February,25,15,214
2017,February,25,16,221
2017,February,25,17,218
2017,February,25,18,171
2017,February,25,19,2
2017,February,25,20,2
2017,February,25,21,2
2017,February,25,22,54
2017,February,25,23,27
2017,February,26,0,19
2017,February,26,1,19
2017,February,26,2,17
2017,February,26,3,15
2017,February,26,4,12
2017,February,26,5,11
2017,February,26,6,74
2017,March,1,0,20
2017,March,1,1,16
2017,March,1,2,20
2017,March,1,3,19
2017,March,1,4,19
2017,March,1,5,18
2017,March,1,6,82
2017,March,1,7,343
2017,March,1,8,333
2017,March,1,9,297
2017,March,1,10,279
2017,March,1,11,263
2017,March,1,12,261
2017,March,1,13,249
2017,March,1,14,244
2017,March,1,15,234
2017,March,1,16,239
2017,March,1,17,244
2017,March,1,18,248
2017,March,1,19,232
2017,March,1,20,227
2017,March,1,21,228
2017,March,1,22,228
2017,March,1,23,194
2017,March,2,0,19
